| Jan ??, 2000 | Russian Illegals Juan Lazaro and Vicky Pelaez surveilled in an unidentified South American country
| Apr 18, 2016 | DOJ shuts down FBI contractor access to 702's (cutting off suspected CIA associates of HRC)
| Apr 18, 2016 | HeatStreet: "Hello tweeps."
| Apr 18, 2016 | Vanity Fair: "Rupert Murdoch's new libertarian web site comes out swinging at Jane Sanders"
| Apr 18, 2016 | Mifsud connects Papadopoulos with Ivan Timofeev
| Apr 19, 2016, 2016 | Mary Jacoby signs visitor guestbook at White House
| Apr 19, 2016 | Andrea Chalupa: "Paul Manafort resigned...likely face an investigation for not declaring being a foreign agent."
| Apr ??, 2016 | Brennan receives Baltic tape showing Kremlin money going into a presidential campaign [see: Jan 27, 2017 BBC]
| Apr ??, 2016 | Brennan creates two task forces - Domestic task force (FBI, DOJ, Treasury) and Foreign task force (CIA, ODNI, NSA)
| Apr 22, 2016 | Alan Cullison: "So I'm told Deripaska was in the U.S. this past week." (email to Robert Otto)
| Apr 22, 2016 | Russian intel prepares massive amount of data for exfiltration from DNC servers
| Apr 25, 2016 | Obama For America begins paying funds into Perkins Coie for "legal services"
| Apr 26, 2016 | Mifsud tells Papadopoulos about Russian officials who have damaging material on HRC
| Apr 26, 2016 | Yahoo: "Trump’s campaign chief is questioned about ties to Russian billionaire"
| Apr 27, 2016 | Politico: "How Donald Trump became the Kremlin's Candidate"
| Apr 27, 2016 | Bruno Kahl nominated to be President of the Federal Intelligence Service in Germany
| Apr 27, 2016 | Papadopoulos sends email to Lewandowski, refers to possible meetings with Russian officials
| Apr 28, 2016 | Alexandra Chalupa invited to Ukraine at Library of Congress for Open World Leadership Center discuss Manafort research
| Apr 28, 2016 | DNC detects infiltration of GRU ("Fancy Bear"), FBI not informed, Michael Sussman summoned to emergency meeting
| Apr 29, 2016 | WaPo: "Sanders campaign drops lawsuit against DNC stemming from December data breach"
| Apr 29, 2016 | McClatchly: "What Panama Papers say - and don’t say - about Trump"
| Apr 30, 2016 | Strzok: "And now we've switched from the Patriot Act to a wire carrying current."
| May ??, 2016 | Stone and Caputo approached by Henry Greenberg (Oknyansky) [see: June 17, 2018 CNN]
| May ??, 2016 | Stefan Halper communicates with Steele, according to Yaacov Appelbaum
| May ??, 2016 | Kilimnick has dinner with Manafort sometime in early May [see: Jun 19, 2018 WaPo]
| May 03, 2016 | Alexandra Chalupa emails DNC about sharing info “offline”, “a big Trump component…that will hit in next few weeks."
| May 04, 2016 | Papadopoulos forwards Timofeev email to Lewandowski, Sam Clovis, other members of the Trump campaign
| May 04, 2016 | Sussman calls CrowdStrike's Shawn Henry regarding DNC server
| May 05, 2016 | Politico: "When Donald Trump brought Miss Universe to Moscow"
| May 05, 2016 | CrowdStrikes installs FalcoHost software in DNC servers
| May 09, 2016 | Bill Priestap is likely in London, possibly meeting with Downer and Pdop, around this time
| May 09, 2016 | NYT: "Trump Aide Paul Manafort Promoted to Campaign Chairman and Chief Strategist"
| May 10, 2016 | Papadopoulos meets Downer in London, Downer accompanied by 
| May 13, 2016 | Mifsud emails Papadopoulos an update about "recent conversations"
| May 15, 2016 | Evan Perez indicates wiretapping of Paul Manafort ends sometime in 2016 due to lack of evidence
| May 17, 2016 | WaPo: "Former Mafia-linked figure describes association with Trump"
| May 17, 2016 | Sidney Blumenthal attends a book party at John and Christina Ritch's home, where Sid meets Jamie Raskin (D-MD)
| May 17, 2016 | Grassley sends letter to Comey about Clinton's server
| May 19, 2016 | Paul Manafort elevated to campaign chairman
| May 19, 2016 | D.C. Judge Rudolph Contreras appointed to FISC
| May 21, 2016 | Papadopoulos emails a senior Trump campaign official that begins "Request from Russia to meet Mr. Trump" 
| May 23, 2016 | Nellie Ohr obtains ham radio license
| May 25, 2016 | Secret Service agent interviewed by FBI, says Justin Cooper and Bryan Pagliano asked for help w/HRC's private server
| May 25, 2016 | Veselnitskaya submits application for US entry visa
| May 25, 2016 | ABC News: "Russian Spy Who Posed as Manhattan Banker Is Heading to Prison"
| May 25, 2016 | @USAttyBharara: "Banker by day, Russian agent by night. Buryakov sentenced for conspiracy to 30 mths in prison"
| May 26, 2016 | Trump locks in necessary 1,237 delegates after winning Indiana primary
| May 31, 2016 | Veselnitskaya receives confirmation for an interview regarding her B1 visa application
| Jun ??, 2016 | Loretta Lynch allegedly assures Amanda Renteria that DOJ won't allow FBI to look too far into Hillary's emails
| Jun 01, 2016 | Veselnitskaya arrives at the U.S. Embassy in Moscow for an interview
| Jun ??, 2016 | Sergei Skripal visits Estonian intelligence officers, arranged by British intelligence
| Jun ??, 2016 | Steele flies to Rome to brief FBI agent Gaeta about dossier
| Jun ??, 2016 | Veselnitskaya granted permission from US Government to visit US on B-status non-immigrant visa
| Jun 03, 2016 | Emin Agalarov calls Rob Goldstone, asks for a meeting with “the Trumps” and Veselnitskaya [see: Sep 22, 2016 Yahoo]
| Jun 03, 2016 | Rob Goldstone emails Don Jr
| Jun 04, 2016 | Glenn Simpson meets with Steele at Heathrow to commission work [see: "Russian Roulette"]
| Jun 06, 2016 | Veselnitskaya receives 3-year visa
| Jun 06, 2016 | Browder forwards email to Kyle Parker about Veselnitskaya's London residence
| Jun 07, 2016 | Kyle Parker forwards Browder email to Robert Otto at State
| Jun 07, 2016 | Paul Manafort was not wiretapped by the FBI at this time
| Jun 07, 2016 | Assange accuses Google of conspiring with the Clinton campaign
| Jun 08, 2016 | Veselnitskaya arrives in New York, dinner with Glenn Simpson
| Jun 09, 2016 | Melanne Verveer attends the House of Ukraine event in Washington, DC
| Jun 09, 2016, 2016 | Akhmetshin rides an Acela train with Ed Lieberman on way to Trump Tower meeting
| Jun 09, 2016 | Trump Tower meeting with Don Jr, Kushner, Manafort, Rinat Akhmetshin, Anatoli Samochornov, and Natalia Veselnitskaya
| Jun 09, 2016 | Veselnitskaya attends post-Trump Tower meeting with Fusion GPS's Glenn Simpson
| Jun 10, 2016 | Veselnitskaya goes to Washington, DC to meet with a key lawyer (unknown)
| Jun 10, 2016 | Comey draft memo changes "gross negligence" to "extremely careless"
| Jun 12, 2016 | SDNY convicts Florida man, Timothy Sedlak, for attempted hacking into HRC server from June-July 2015
| Jun 13, 2016 | Veselnitskaya and Akhmetshin host anti-Magnitsky Act film in Washington
| Jun 14, 2016 | Debbie Wasserman Schultz hosts DNC conference, says Russians hacked their servers, stole Trump opposition research
| Jun 14, 2016 | WaPo: "Russian government hackers penetrated DNC, stole opposition research on Trump"
| Jun 14, 2016 | CrowdStrike: "Bears in the Midst: Intrusion into the Democratic National Committee"
| Jun 14, 2016 | Crowdstrike and DNC demand FBI announce that Russian entities hacked their servers
| Jun 15, 2016 | Guccifer 2.0: "DNC's Servers Hacked by a Lone Hacker"
| Jun 15, 2016 | Stanislav Yezhov translates in a meeting with Joe Biden at the White House
| Jun 15, 2016 | Alexandra Chalupa's consulting contract with the DNC ends
| Jun 16, 2016 | Veselnitskaya returns to New York
| Jun 17, 2016 | Veselnitskaya meets with U.S. lawyers, returns to Russia
| Jun 17, 2016 | WaPo: "Inside Trump’s financial ties to Russia and his unusual flattery of Vladimir Putin"
| Jun 18, 2016 | Fusion GPS hires Christopher Steele
| Jun 19, 2016 | Stephanie Burant emails Robert Otto, asks Otto for his take on a WaPo article about Manafort 
| Jun 20, 2016 | Steele files first Trump-Russia memo, cites Source D
| Jun 20, 2016 | Agalarov-controlled offshore company wires $19.5m to his account at a bank in New York [see: Sep 12, 2018 BuzzFeed]
| Jun 21, 2016 | Guccifer 2.0 releases a batch of stolen DNC documents about Secretary Clinton
| Jun 21, 2016 | First donation from Robert Mercer to Trump campaign
| Jun 23, 2016 | Brexit
| Jun 24, 2016 | Podesta meets with Claire McCombs, follow-up appointment June 27th in VP residence with Mook and Donolin
| Jun 24, 2016 | Simpson contacts Steele to arrange to receive a copy of the dossier, sent courier from the UK to Washington, DC
| Jun ??, 2016 | DOJ/NSD submit first FISA application from two Russian banks (fails)
| Jun 27, 2016 | Podesta, Mook, Donolin meet with Obama, Biden in VP residence 
| Jun 27, 2016 | Clinton/Lynch Phoenix airport tarmac meeting
| Jun 30, 2016 | Guccier 2.0 releases stolen DNC documents, including research on Republican candidates and Secretary Clinton
| Jun ??, 2016 | Robert Hannigan, head of GCHQ, passes material in summer 2016 to CIA's John Brennan at "director level"
| Jul ??, 2016 | DOJ/NSD submit narrowed FISA application (still on two Russian banks?), fails again
| Jul ??, 2016 | (early July) Unmasking of Trump officials increases
| Jul 01, 2016 | Bruno Kahl confirmed as President of the Federal Intelligence Service in Germany
| Jul 01, 2016 | Steele: “something separate I wanted to discuss with you...It concerns our favourite business tycoon!”
| Jul 02, 2016 | Hillary interviewed by FBI agents
| Jul 03, 2016 | Bruce Ohr schedules a Skype call with Steele
| Jul 04, 2016 | "Putin's Puppet" is published in Slate, by Franklin Foer
| Jul 04, 2016 | Bruce Ohr meets Steele [see: September 6, 2018 The Hill]
| Jul 05, 2016 | FBI agent Gaeta meets Steele in London, receives copy of Steele's memo, says he has to notify headquarters
| Jul 05, 2016 | Comey defers HRC prosecution recommendation
| Jul 06, 2016 | Bruce Ohr meets Steele [see: September 6, 2018 The Hill]
| Jul 06, 2016 | Guccifer 2.0 releases stolen DNC documents
| Jul 07, 2016 | Daily Mail: "Mystery over claims that Russian double agent, 64, who exposed glamour spy Anna Chapman has died in US"
| Jul 07, 2016 | @DrLeoStrauss: "Intel - the underlying Interfax report driving all RF media reports #SVR Col. Poteyev is deceased."
| Jul 07, 2016 | Sputnik: "Russian Foreign Intelligence Mute on Reports of Ex-Employee Death in US"
| Jul 07, 2016 | Sputnik: "Russian Senator Doubts Ex-Agent Poteyev's Reported Death in US 'Fake'"
| Jul 07, 2016 | Manafort writes in an email, "If he needs private briefings, we can accomodate", allegedly referring to Oleg Deripaska
| Jul 07, 2016 | Carter Page travels to Moscow on a campaign-approved visit to deliver a lecture at the prestigious New Economic School
| Jul 07, 2016 | IC IG McCullough testifies before HPSCI that he can not provide some segment of HRC's emails
| Jul 08, 2016 | Carter Page invited to the Race to Change the World Symposium by a University of Cambridge doctoral candidate
| Jul 09, 2016 | The Daily Beast: "Is This American Spy Dead? Or Was He Ever Real?" (Poteyev)
| Jul 09, 2016 | Steele vacations in Cyprus with family until the 16th [see: August 7, 2018 The Hill]
| Jul 11, 2016 | Carter Page travels to the Race to Change the World conference
| Jul 11, 2016 | Elizabeth Dibble submits referral to the FBI about Downer-Papadopoulos bar conversation
| Jul 13, 2016 | Page: "let me ask Baker what the meeting with Fine was about...be better not to get Jim deep in the facts of this yet"
| Jul ??, 2016 | Nuland's claim of when she says she first glimpsed Steele dossier
| Jul 15, 2016 | Arsen Avakov tweets criticisms of Trump and Manafort, calls Trump “an even bigger danger to the US than terrorism.”
| Jul 15, 2016 | Arseny Yatseniuk writes on Facebook that Trump has challenged the very values of the free world
| Jul 16, 2016 | Carter Page: Professor who "offered a range of possibilities regarding how he and the University might be able to help"
| Jul 18, 2016 | GOP convention in Ohio begins
| Jul 19, 2016 | Lisa Monaco meets Clapper and Tonya Ugoretz at ODNI
| Jul 19, 2016 | Brennan attends the Leadership Dinner at the Intelligence and National Security Alliance in McLean, Virginia
| Jul 19, 2016 | Steele memo: "Source E, an ethnic Russian", "close associate of Trump", "Russian regime" behind DNC emails to WikiLeaks
| Jul 19, 2016 | Trump becomes official GOP nominee
| Jul 20, 2016 | WFO and Office of General Counsel review Dibble referral, set up meeting with higher ups including Comey and Lynch
| Jul 22, 2016 | WikiLeaks disseminates stolen DNC documents, including emails and other sensitive proprietary documents
| Jul 22, 2016 | Papadopoulos dm's Timofeev, asks if he "knew a particular individual with extensive ties to Russian-based businesses"
| Jul 22, 2016 | Millian messages Papadopoulos on LinkedIn
| Jul 22, 2016 | Australia supposedly tells the FBI of Papadopoulos’ comments to Downer from May 10, 2016.
| Jul 24, 2016 | WaPo: "Clinton campaign — and some cyber experts — say Russia is behind email release"
| Jul 25, 2016 | Page and Strzok text each other about Strzok's relationship to Judge Rudolph Contreras
| Jul 26, 2016 | Steele memo filed, blames DNC hacks on Russia
| Jul 26, 2016 | Obama signs directive, places FBI in charge of all cyber threats
| Jul 26, 2016 | At press conference, Trump says, "Russia, I hope you can find Hillary's missing emails"
| Jul 26, 2016 | Alexandra Chalupa leaves the DNC to work full-time on her research into Manafort, Trump and Russia
| Jul 26, 2016 | @realDonaldTrump: "For the record, I have ZERO investments in Russia."
| Jul 26, 2016 | Sater: "'Fuck me, I thought to myself. All that work for nothing'" [see: May 17, 2018 BuzzFeed]
| Jul 26, 2016 | WSJ's Devlin Barrett calls Carter Page about contacts with Igor Sechin [see: Nov 2, 2017 HPSCI testimony]
| Jul 27, 2016 | Trump states he would recognise Moscow’s annexation of Crimea
| Jul 27, 2016 | Comey and Lynch "CI Threat" briefing, Lisa Page and Jon Moffa there.
| Jul 27, 2016 | Aspen Security Forum
| Jul ??, 2016 | Bruce Ohr in contact with Steele days before Crossfire Hurricane begins, engages Steele as "confidential human source"
| Jul 29, 2016 | First payment to Cambridge Analytica by Trump campaign [see: Nov 10, 2017 WSJ]
| Jul 29, 2016 | Steele likely arrives in DC late afternoon/evening
| Jul 30, 2016 | Bruce and Nellie Ohr meet Steele in DC Mayflower Hotel
| Jul 30, 2016 | Bruce Ohr calls McCabe [see: September 6, 2018 The Hill]
| Jul 31, 2016 | Meet the Press questions Manafort on RNC platform changes for Ukraine
| Jul 31, 2016 | Crossfire Hurricane officially begins
| Aug ??, 2016 | Nastya Rybka posts photos and videos to her Instagram of her and Oleg Deripaska, as well as Sergei Prikhodko
| Aug ??, 2016 | Billy Bush brags to staffers at Rio Olympics that he recalls a vulgar NBC Trump tape [see: Oct 10, 2016 Page Six]
| Aug 01, 2016 | The Duran: "NSA whistleblower says DNC hack was not done by Russia, but by U.S. intelligence"
| Aug 02, 2016 | Two FBI agents (Strzok and ??) in London send interview summary of Downer and Papadopoulos to DC
| Aug 03, 2016 | Bruce Ohr meets with Andrew McCabe and Lisa Page [see: September 6, 2018 The Hill]
| Aug 03, 2016 | Page: "New case. Information workflow. Control.
| Aug 03, 2016 | Page: "Andy. The dynamic. And yeah, but it's not mine to worry about."
| Aug 03, 2016 | Strzok: "I'm obviously going to tell [Bill] anything he wants to know, but recommend we not tell him or anyone higher."
| Aug 03, 2016 | Strzok: "@ (1 @r specific data so that he and higher can tell DOJ, even we don't know the admin details."
| Aug 03, 2016 | Strzok: "You're Andy's counsel. By definition it's yours to worry about."
| Aug 03, 2016 | Page: "No it's not. Not like this. He's clearly not."
| Aug 03, 2016 | Strzok: "this is MUCH more tasty for one of those [?] aholes to leak."
| Aug 03, 2016 | Strzok: "For the first time in a while I'm not worried about our side."
| Aug 03, 2016 | Strzok: "He's clearly not what? Worrying about [?]"
| Aug 03, 2016 | Page: "Information flow and control."
| Aug 03, 2016 | Strzok: "He should be. I can reinforce that when I brief you/Bill, and Andy, if I talk to him about it."
| Aug 03, 2016 | Page: "We need to get MYE out the door, and quickly. We're not going to be able to withstand the pressure soon."
| Aug 03, 2016 | George Nader, alongside Joel Zamel, meets Donald Trump, Jr., offers use of Zamel's company, Psy-Group
| Aug 04, 2016 | The Hill: "Ukraine's ambassador: Trump's comments send wrong message to world"
| Aug 04, 2016 | Roger Stone allegedly dines with Julian Assange (later denied) [see: April 2, 2018 WSJ]
| Aug 04, 2016 | Brennan contacts Alexander Bortnikov, head of FSB intel, says to cease further interference in U.S. elections
| Aug 05, 2016 | In an email, Erdogan suggests that operatives “send info” to opponents of U.S. Congress members who had received donations from Gulenists [see: Nov 17, 2016 Daily Caller]
| Aug 05, 2016 | WaPo: "Trump adviser’s public comments, ties to Moscow stir unease in both parties" (focus on Carter Page)
| Aug 05, 2016 | The Guardian: "Rio 2016 opening ceremony a mix of pared patriotism and climate concern"
| Aug 05, 2016 | Manafort has dinner with Kilimnick at Grand Havana Room in NYC two weeks before resigning [see: June 19, 2018 WaPo]
| Aug 05, 2016 | Strzok: "the White House is running this"
| Aug 06, 2016 | Obama seeks bipartisan support condemning Moscow and to urge states to accept federal help wrt securing election sites
| Aug 06, 2016 | Hillary tweets first video questioning Trump's relationship to Russia
| Aug 08, 2016 | The Observer: "Did NSA Try to Destroy Hillary Clinton"
| Aug 08, 2016 | Page: "he's not ever going to be president, right? Right?"
| Aug 08, 2016 | Strzok: "No. No he won't. We’ll stop it"
| Aug 08, 2016 | NYT: "Evan McMullin, Anti-Trump Republican, Mounts Independent Presidential Bid"
| Aug 11, 2016 | Clapper visits Estonia
| Aug 11, 2016 | Brennan briefs Reid, McConnell, Feinstein, Burr, Ryan, Pelosi, Nunes, and Schiff wrt Russian hacking attempts
| Aug 12, 2016 | @balkanewz: "Ivanka Trump, daughter of US presidential candidate, cruises into #Croatia's Dubrovnik with Kushner "
| Aug 12, 2016 | Matthew Axelrod (to McCabe): FBI NY agents "disregarding or disobeying their instructions" regarding MYE
| Aug 13, 2016 | Page: "I'm going to forward to Kortan. God, makes me want to tell state to go f it."
| Aug 13, 2016 | Strzok: "States BS just makes me want to include those additional 302s. But that's just vindictiveness talking."
| Aug 15, 2016 | NYT: "Secret Ledger in Ukraine Lists Cash for Donald Trump's Campaign Chief"
| Aug 15, 2016 | DOH's Jeh Johnson calls state officials to gain support for election defense, but was met with "a wall of resistance"
| Aug 15, 2016 | Bruce Ohr contacts Peter Strzok [see: September 6, 2018 The Hill]
| Aug 15, 2016 | Strzok: "I want to believe the path you threw out for consideration in Andy's office - that there's no way he gets elected - but I'm afraid  we can't take that risk. It's like an insurance policy in the unlikely event vou die before you're 40..."
| Aug 16, 2016 | Rick Gates interviewed by FBI, provides misleading info about interactions with Mercury
| Aug 18, 2016 | Reuters: "Hackers targeted Trump campaign, Republican Party groups"
| Aug 19, 2016 | Clinton meets Ukranian President Poroshenko at UN General Assembly meeting
| Aug 19, 2016 | Ukrainian MP provides evidence against Paul Manafort
| Aug 19, 2016 | Manafort resigns from Trump campaign
| Aug 20, 2016 | NYT: "More of Kremlin’s Opponents Are Ending Up Dead" (Poteyev mentioned as deceased, NYT cites Daily Mail)
| Aug ??, 2016 | (Another FISA starts on Manafort?)
| Aug 21, 2016 | Obama depart Martha's Vineyard
| Aug 22, 2016 | Poteyev registers to vote [see: Oct 3, 2018 BuzzFeed] [see: Jun 5, 2017 @textifire]
| Aug 22, 2016 | Bruce Ohr meets Glenn Simpson, Simpson offers intermediaries between Trump campaign and Russia, also Alfa Bank info
| Aug 24, 2016 | Clapper and Brennan attend Presidential Daily Briefs Symposium at Nixon Library
| Aug 25, 2016 | Brennan briefs Harry Reid personally, tells Reid to direct pressure towards FBI
| Aug 26, 2016 | Politico: "Trump’s mob-linked ex-associate gives $5,400 to campaign"
| Aug 26, 2016 | Rebecca Mercer emails Alexander Nix, asks if he can help organize WikiLeaks emails [see: Oct 27, 2017 WSJ]
| Aug 27, 2016 | Reid sends letter to Comey about Russia investigation, demanding new investigation be opened
| Aug 28, 2016 | NYPOST published explicit but blurred photo of Anthony Weiner sext w/1yo son in frame
| Aug 29, 2016 | Stefan Halper reaches out to Sam Clovis, mentions Carter Page said they should meet
| Aug 31, 2016 | Report filed against Anthony Weiner to ACS
| Sep ??, 2016 | Comey, while testifying before Congress, does not confirm existence of any investigation into Trump's campaign aides
| Sep ??, 2016 | Steele briefs Jonathon Winer on dossier at DC hotel, Winer gives 2-page summary to Nuland and Jon Finer
| Sep ??, 2016 | In FBI memo, Steele admits to Nellie Ohr his feelings against then-candidate Trump, says he was desperate to stop him
| Sep ??, 2016 | Clovis meets Halper at DoubleTree hotel in Arlington, VA, Halper discusses China, Papadopoulos
| Sep ??, 2016 | Paul Ahern (Treasury Dept attorney) argues with FinCEN employees citizens private info being illegally searched
| Sep ??, 2016 | Jeh Johnson, Comey, Lisa Monaco arrive on Capitol Hill to meet with Gang of Twelve to be briefed on Russian hacking
| Sep ??, 2016 | Stefan Halper pays $3,000 to Papadopoulos
| Sep 02, 2016 | Halper invites Papadopolous to London to discuss a policy paper about energy issues in Turkey, Cyprus, and Israel
| Sep 02, 2016 | Peter Smith sets up KLS Research LLC to find Clinton emails
| Sep 02, 2016 | Page texts Strzok that Comey was preparing a meeting with Obama, who wanted to know what they were doing
| Sep 05, 2016 | At G20 Summit, Obama and Putin discuss US presidential election, Obama allegedly warns Putin to stop interfering
| Sep 06, 2016 | FBI, NSA, and ODNI hold classified briefings with Congressional staff members about Russian interference
| Sep 06, 2016 | LA Times: "$1.7-billion payment to Iran was all in cash due to effectiveness of sanctions, White House says"
| Sep 07, 2016 | Intelligence and National Security Summit, attended by Schiff, McCabe, Comey, Brennan, Carlin, Adm. Rogers, Shawn Henry
| Sep 10, 2016 | Strzok: "thing is, there are VERY inflammatory things in the 302s we didn't turn over to Congress"
| Sep 11, 2016 | NBC News: "Hillary Clinton Leaves 9/11 Memorial Early After Feeling ‘Overheated,’ Has Pneumonia"
| Sep 13, 2016 | Halper and Papadopolous have dinner at the Connaught Hotel, where Halper brings up his research assistant Azra Turk
| Sep 14, 2016 | Lisa Monaco tells people at 10yr anniversary of DOJ/NSD that Russia hacking the election would be "extremely difficult"
| Sep 14, 2016 | Steele dates three installments of the dossier
| Sep ??, 2016 | Inovo BV hires Flynn Intel Group on behalf of a non-Turkish energy company [see: Nov 21, 2016 Daily Caller]
| Sep 15, 2016 | Halper and Papadopolous meet at the Travellers Colub, again with Azra Turk, Azra is said to have flirted with Pdop
| Sep 15, 2016 | Isikoff leaves voicemail for Carter Page, asking for a call back, leaves similar voicemail on September 22
| Sep 16, 2016 | Steele texts Bruce Ohr, says he will be back in town "on business of mutual interest"
| Sep 20, 2016 | NYPost: "Trump has sit-down with Egypt’s president"
| Sep 20, 2016 | Strzok: "Plus I'm supposed to talk to Glenn Fine (DOD IG) at 145 with Baker..."
| Sep 21, 2016 | Steele texts bruce Ohr, says he is in DC, says "keen to meet up with you"
| Sep 21, 2016 | DailyMail: "Anthony Weiner carried on a months-long online sexual relationship with a troubled 15-year-old girl"
| Sep 22, 2016 | Schiff and Feinstein release joint statement condeming Russia
| Sep 22, 2016 | SDNY issues subpoena for Anthony Weiner phone records
| Sep 23, 2016 | Yahoo: "U.S. intel officials probe ties between Trump adviser and Kremlin"
| Sep 23, 2016 | Politico: "Who Is Carter Page? The mystery of Trump’s man in Moscow"
| Sep 23, 2016 | Bruce Ohr: Steele "was desperate that Donald Trup not get elected and was passionate about him not being president."
| Sep 24, 2016 | Strzok sends a text to Lisa Page with a link to a Politico article about Carter Page
| Sep 25, 2016 | Carter Page sends cease-and-desist letter to James Comey, informing him about the witch-hunt directed at him
| Sep 26, 2016 | Carter Page leaves Trump campaign
| Sep 26, 2016 | Search and Seizure Warrant against Anthony Weiner
| Sep 26, 2016 | John Carlin files notification with FISA court
| Sep 26, 2016 | Halper signs fourth contract with DOD's Office of Net Assessment ($411,575.00)
| Sep 26, 2016 | ACS alerts man who filed report against Weiner
| Sep 27, 2016 | Doug Schoen: "Putin's Master Plan: To Destroy Europe, Divide NATO, and Restore Russian Power and Global Influence"
| Sep 27, 2016 | Halper's third contract with DOD expires ($244,960.00)
| Sep 27, 2016 | John Carlin announces resignation (does not resign immediately)
| Sep 27, 2016 | During the first presidential debate, Trump suggests a 400-lb hacker stole the DNC's emails
| Sep 28, 2016 | Ryan, Pelosi, McConnel, and Reid sent letter to Todd Valentine about potential cyber attacks
| Sep 28, 2016 | Weiner's lawyer turns over subpoenad emails to SDNY
| Sep 29, 2016 | Strzok texts Page that he's sending a team up to SDNY the next day to review Anthony Wiener's subpoenaed documents
| Sep 29, 2016 | Obama for America pays Perkins Coie $700,000
| Sep 29, 2016 | Mikk Marran attends CEPA Forum in DC, panelists Thomas Kent, Mustafa Nayyem, Michael Weiss, speech by Benjamin Wittes
| Sep 30, 2016 | Whistleblower Adam Lovinger sends letter to Office of Net Assessment Director James H. Baker
| Sep ??, 2016 | Steele attends several off-the-record meetings with U.S. journalists from NYT, WaPo, Yahoo, New Yorker, and CNN
| Oct ??, 2016 | Steele debriefed by FBI, hands over Cody Shearer memo
| Oct ??, 2016 | Kerry aides produce "action memo", includes relatiatory measures against Russia, not published till election night
| Oct 01, 2016 | FBI goes to Rome to ask Steele about contact with Papadopoulos (Steele denies contact)
| Oct 03, 2016 | NY FBI confiscates Weiner laptop, iPad, phone, wifi router
| Oct 03, 2016 | Roger Stone allegedly dines with an associate of Julian Assange (Waldman?)
| Oct 06, 2016 | WaPo hosts Cybersecurity Summit, attended by Lisa Monaco, Ellen Nakashima, and DNC's Michael Sussmann
| Oct 07, 2016 | Homeland Security and ODNI blame Russia for DNC leaks, Podesta emails, Guccifer 2.0 (Comey declines to attach his name)
| Oct 07, 2016 | Susan Rice summons Ambassador Kislyak to the White House to relay a message to Vladimir Putin
| Oct 07, 2016 | Strzok: : “Jesus. More BO leaks in the NYT” (Bruce Ohr?)
| Oct 07, 2016 | Access Hollywood tape
| Oct 07, 2016 | WikiLeaks began releasing batches of Podesta’s emails on a near-daily basis until election day
| Oct 08, 2016 | NeverTrumper GOP Congressman Will Hurd dumps Trump
| Oct 09, 2016 | Poteyev applies for a fishing license at a Wal-Mart in Florida, using his full name [see: Oct 3, 2018 BuzzFeed]
| Oct 09, 2016 | Mueller joins Booz Allen Hamilton after Shadow Brokers investigation found NSA contractor Harold Martin stole documents
| Oct 09, 2016 | FBI speaks with John Podesta, tells him his emails are being investigated [see: Oct 11, 2016 Politico]
| Oct ??, 2016 | FBI general counsel James Baker meets with DNC lawyers to discuss Trump-Russia collusion [see: Oct 3, 2018 The Hill]
| Oct 10, 2016 | Page Six: "Billy Bush bragged about vulgar Trump video to NBC staffers"
| Oct 10, 2016 | @mike pence: "Delicious stop at Tony's Ice Cream, a family-owned-and-operated small business in downtown Gastonia, NC"
| Oct 10, 2016 | Gen. Flynn meets with Ibrahim Kurtulus and Hilal Mutlu, relatives of Erdogan, in NYC [see: Nov 16, 2016]
| Oct 11, 2016 | Politico: "Podesta: Trump ally had ‘advance warning’ of hacked emails"
| Oct 12, 2016 | CBS: "Trump Ally Roger Stone Admits ‘Back-Channel’ Tie To WikiLeaks"
| Oct 13, 2016 | Trump delivers "Slings and Arrows" speech in Florida
| Oct 14, 2016 | Yahoo: "Former CIA director accuses Trump allies of 'working on behalf of the Russians'"
| Oct 14, 2016 | Michael McFaul tweets about bumping into Ambassador Kislyak at the White House
| Oct 14, 2016 | Page: "...DAG now wants to be there, and WH wants DOJ to host...get Cohen's view...We need to speak with one voice."
| Oct 14, 2016 | Strzok emails Lisa Page "at a minimum, that keeps the hurry the F up pressure on him"
| Oct 14, 2016 | Melissa Hodgman-Strzok is promoted to Associate Director in the SEC's Enfocement Division
| Oct ??, 2016 | Steele meets with several reporters again in mid-October
| Oct 15, 2016 | John P. Carlin resigns
| Oct 16, 2016 | WikiLeaks tweets that Julian Assange's internet link has been severed by a state party
| Oct 17, 2016 | @ChrisSnyderFox: "Trump tells his supporters 'it is time to drain the swamp in Washington, D.C.'"
| Oct 18, 2016 | Crossfire Hurricane rush "Dragon" FISA warrant [see: July 7, 2018 The Hill]
| Oct 18, 2016 | NYO Case Agent alerts SDNY to FBI HQ "inaction", FBIHQ re-engagement regarding Weiner laptop
| Oct 19, 2016 | Page: "Meeting with WH counsel is finally set up and I want to talk about timing. Thanks."
| Oct 19, 2016 | Page: "DAG approved. I told [?] already to stand by for one edit."
| Oct 19, 2016 | Reuters: "Clinton accuses Trump of being Putin's 'puppet'"
| Oct 20, 2016 | Steele finishes his memos
| Oct 20, 2016 | Halper talks at the China Forum in Washington
| Oct 20, 2016 | NSA compliance officer briefs Adm. Rogers on illegal FBI spying
| Oct 20, 2016 | Lisa Monaco meets with financial executives to discuss cyber security
| Oct 21, 2016 | FISA Verified Application on Carter Page (p. 1-63) [signed: Comey, Yates]
